Date : 2022-03-11 20:01:48
Directory : d:\GitRepos\JOGL-Engine
Total : 71 files,  1439 codes, 37 comments, 343 blanks, all 1819 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         70 |      1,433 |         37 |        341 |      1,811 |
| Markdown |          1 |          6 |          0 |          2 |          8 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |         71 |      1,439 |         37 |        343 |      1,819 |
| bin                                                                       |         36 |        536 |          0 |          2 |        538 |
| bin\engine                                                                |         29 |        426 |          0 |          1 |        427 |
| bin\engine\Inputs                                                         |          6 |        122 |          0 |          0 |        122 |
| bin\engine\events                                                         |          1 |          5 |          0 |          0 |          5 |
| bin\engine\exeptions                                                      |          2 |         12 |          0 |          0 |         12 |
| bin\engine\physics2D                                                      |          2 |         28 |          0 |          0 |         28 |
| bin\engine\physics2D\collisions                                           |          2 |         28 |          0 |          0 |         28 |
| bin\engine\rendering                                                      |          9 |        156 |          0 |          1 |        157 |
| bin\engine\rendering\color                                                |          1 |         14 |          0 |          0 |         14 |
| bin\engine\rendering\geometry                                             |          3 |         39 |          0 |          0 |         39 |
| bin\engine\resourse                                                       |          3 |         60 |          0 |          0 |         60 |
| bin\engine\ui                                                             |          4 |         21 |          0 |          0 |         21 |
| bin\engine\ui\elements                                                    |          3 |         16 |          0 |          0 |         16 |
| bin\engine\ui\layouts                                                     |          1 |          5 |          0 |          0 |          5 |
| bin\minesweeper                                                           |          7 |        110 |          0 |          1 |        111 |
| bin\minesweeper\gametypes                                                 |          1 |         30 |          0 |          0 |         30 |
| bin\minesweeper\util                                                      |          1 |         18 |          0 |          0 |         18 |
| src                                                                       |         34 |        897 |         37 |        339 |      1,273 |
| src\engine                                                                |         29 |        688 |         27 |        263 |        978 |
| src\engine\Inputs                                                         |          6 |        172 |          2 |         56 |        230 |
| src\engine\events                                                         |          1 |          8 |          0 |          3 |         11 |
| src\engine\exeptions                                                      |          2 |         12 |          0 |          4 |         16 |
| src\engine\physics2D                                                      |          2 |         64 |          0 |         11 |         75 |
| src\engine\physics2D\collisions                                           |          2 |         64 |          0 |         11 |         75 |
| src\engine\rendering                                                      |          9 |        264 |         15 |        108 |        387 |
| src\engine\rendering\color                                                |          1 |         27 |          0 |          8 |         35 |
| src\engine\rendering\geometry                                             |          3 |         89 |          4 |         32 |        125 |
| src\engine\resourse                                                       |          3 |        105 |          9 |         49 |        163 |
| src\engine\ui                                                             |          4 |         12 |          0 |         12 |         24 |
| src\engine\ui\elements                                                    |          3 |          9 |          0 |          9 |         18 |
| src\engine\ui\layouts                                                     |          1 |          3 |          0 |          3 |          6 |
| src\minesweeper                                                           |          5 |        209 |         10 |         76 |        295 |
| src\minesweeper\gametypes                                                 |          1 |         96 |          8 |         21 |        125 |
| src\minesweeper\util                                                      |          1 |         17 |          0 |         10 |         27 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                  | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\GitRepos\JOGL-Engine\README.md                                         | Markdown |          6 |          0 |          2 |          8 |
| d:\GitRepos\JOGL-Engine\bin\engine\EventListener.class                    | Java     |         17 |          0 |          0 |         17 |
| d:\GitRepos\JOGL-Engine\bin\engine\GameLoop.class                         | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\KeyInput.class                  | Java     |         19 |          0 |          0 |         19 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\KeyInputCaller.class            | Java     |         14 |          0 |          0 |         14 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\KeyInputKeys.class              | Java     |         27 |          0 |          0 |         27 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\MouseInput.class                | Java     |         18 |          0 |          0 |         18 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\MouseInputCaller.class          | Java     |         27 |          0 |          0 |         27 |
| d:\GitRepos\JOGL-Engine\bin\engine\Inputs\MouseInputKeys.class            | Java     |         17 |          0 |          0 |         17 |
| d:\GitRepos\JOGL-Engine\bin\engine\events\EventHandler.class              | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\engine\exeptions\DrawableNotInitialized.class | Java     |          6 |          0 |          0 |          6 |
| d:\GitRepos\JOGL-Engine\bin\engine\exeptions\LayerDoesNotExist.class      | Java     |          6 |          0 |          0 |          6 |
| d:\GitRepos\JOGL-Engine\bin\engine\physics2D\collisions\Area.class        | Java     |         13 |          0 |          0 |         13 |
| d:\GitRepos\JOGL-Engine\bin\engine\physics2D\collisions\Collisions.class  | Java     |         15 |          0 |          0 |         15 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\Drawable.class               | Java     |          4 |          0 |          1 |          5 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\Drawer.class                 | Java     |         38 |          0 |          0 |         38 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\Layer.class                  | Java     |         14 |          0 |          0 |         14 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\LayerKeys.class              | Java     |         13 |          0 |          0 |         13 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\Renderer.class               | Java     |         34 |          0 |          0 |         34 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\color\Color.class            | Java     |         14 |          0 |          0 |         14 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\geometry\Point.class         | Java     |         11 |          0 |          0 |         11 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\geometry\Quad.class          | Java     |         15 |          0 |          0 |         15 |
| d:\GitRepos\JOGL-Engine\bin\engine\rendering\geometry\Triangle.class      | Java     |         13 |          0 |          0 |         13 |
| d:\GitRepos\JOGL-Engine\bin\engine\resourse\ImageResource.class           | Java     |         30 |          0 |          0 |         30 |
| d:\GitRepos\JOGL-Engine\bin\engine\resourse\Sprite.class                  | Java     |          7 |          0 |          0 |          7 |
| d:\GitRepos\JOGL-Engine\bin\engine\resourse\SpriteMap.class               | Java     |         23 |          0 |          0 |         23 |
| d:\GitRepos\JOGL-Engine\bin\engine\ui\elements\Button.class               | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\engine\ui\elements\Image.class                | Java     |          6 |          0 |          0 |          6 |
| d:\GitRepos\JOGL-Engine\bin\engine\ui\elements\Text.class                 | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\engine\ui\layouts\Grid.class                  | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\Constants$kGame.class             | Java     |         10 |          0 |          0 |         10 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\Constants$kTile.class             | Java     |         11 |          0 |          0 |         11 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\Constants.class                   | Java     |          5 |          0 |          0 |          5 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\Game.class                        | Java     |         27 |          0 |          1 |         28 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\Main.class                        | Java     |          9 |          0 |          0 |          9 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\gametypes\Tile.class              | Java     |         30 |          0 |          0 |         30 |
| d:\GitRepos\JOGL-Engine\bin\minesweeper\util\GameUtils.class              | Java     |         18 |          0 |          0 |         18 |
| d:\GitRepos\JOGL-Engine\src\engine\EventListener.java                     | Java     |         44 |          1 |         18 |         63 |
| d:\GitRepos\JOGL-Engine\src\engine\GameLoop.java                          | Java     |          7 |          0 |          2 |          9 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\KeyInput.java                   | Java     |         32 |          0 |         13 |         45 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\KeyInputCaller.java             | Java     |         13 |          1 |          6 |         20 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\KeyInputKeys.java               | Java     |         48 |          1 |         10 |         59 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\MouseInput.java                 | Java     |         31 |          0 |         13 |         44 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\MouseInputCaller.java           | Java     |         37 |          0 |         12 |         49 |
| d:\GitRepos\JOGL-Engine\src\engine\Inputs\MouseInputKeys.java             | Java     |         11 |          0 |          2 |         13 |
| d:\GitRepos\JOGL-Engine\src\engine\events\EventHandler.java               | Java     |          8 |          0 |          3 |         11 |
| d:\GitRepos\JOGL-Engine\src\engine\exeptions\DrawableNotInitialized.java  | Java     |          6 |          0 |          2 |          8 |
| d:\GitRepos\JOGL-Engine\src\engine\exeptions\LayerDoesNotExist.java       | Java     |          6 |          0 |          2 |          8 |
| d:\GitRepos\JOGL-Engine\src\engine\physics2D\collisions\Area.java         | Java     |         46 |          0 |          6 |         52 |
| d:\GitRepos\JOGL-Engine\src\engine\physics2D\collisions\Collisions.java   | Java     |         18 |          0 |          5 |         23 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\Drawable.java                | Java     |          8 |          3 |          5 |         16 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\Drawer.java                  | Java     |         72 |          4 |         37 |        113 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\Layer.java                   | Java     |         26 |          4 |         11 |         41 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\LayerKeys.java               | Java     |          8 |          0 |          2 |         10 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\Renderer.java                | Java     |         34 |          0 |         13 |         47 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\color\Color.java             | Java     |         27 |          0 |          8 |         35 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\geometry\Point.java          | Java     |         12 |          0 |          4 |         16 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\geometry\Quad.java           | Java     |         52 |          0 |         13 |         65 |
| d:\GitRepos\JOGL-Engine\src\engine\rendering\geometry\Triangle.java       | Java     |         25 |          4 |         15 |         44 |
| d:\GitRepos\JOGL-Engine\src\engine\resourse\ImageResource.java            | Java     |         54 |          9 |         22 |         85 |
| d:\GitRepos\JOGL-Engine\src\engine\resourse\Sprite.java                   | Java     |         16 |          0 |          8 |         24 |
| d:\GitRepos\JOGL-Engine\src\engine\resourse\SpriteMap.java                | Java     |         35 |          0 |         19 |         54 |
| d:\GitRepos\JOGL-Engine\src\engine\ui\elements\Button.java                | Java     |          3 |          0 |          3 |          6 |
| d:\GitRepos\JOGL-Engine\src\engine\ui\elements\Image.java                 | Java     |          3 |          0 |          3 |          6 |
| d:\GitRepos\JOGL-Engine\src\engine\ui\elements\Text.java                  | Java     |          3 |          0 |          3 |          6 |
| d:\GitRepos\JOGL-Engine\src\engine\ui\layouts\Grid.java                   | Java     |          3 |          0 |          3 |          6 |
| d:\GitRepos\JOGL-Engine\src\minesweeper\Constants.java                    | Java     |         17 |          0 |          7 |         24 |
| d:\GitRepos\JOGL-Engine\src\minesweeper\Game.java                         | Java     |         70 |          2 |         33 |        105 |
| d:\GitRepos\JOGL-Engine\src\minesweeper\Main.java                         | Java     |          9 |          0 |          5 |         14 |
| d:\GitRepos\JOGL-Engine\src\minesweeper\gametypes\Tile.java               | Java     |         96 |          8 |         21 |        125 |
| d:\GitRepos\JOGL-Engine\src\minesweeper\util\GameUtils.java               | Java     |         17 |          0 |         10 |         27 |
| Total                                                                     |          |      1,439 |         37 |        343 |      1,819 |
+---------------------------------------------------------------------------+----------+------------+------------+------------+------------+
